term_id,term_str,n,num,has_int,stop,stem_porter,stem_snowball
5043,days,212,0,0,0,day,day
11270,mushrooms,210,0,0,0,mushroom,mushroom
15688,soak,210,0,0,0,soak,soak
3277,carrots,210,0,0,0,carrot,carrot
2658,bottle,210,0,0,0,bottl,bottl
15414,sift,209,0,0,0,sift,sift
2458,black,209,0,0,0,black,black
6359,entirely,209,0,0,0,entir,entir
14705,salmon,209,0,0,0,salmon,salmon
5282,desirable,208,0,0,0,desir,desir
12240,pans,208,0,0,0,pan,pan
14279,result,207,0,0,0,result,result
17045,thing,207,0,0,0,thing,thing
4220,condition,207,0,0,0,condit,condit
7741,general,206,0,0,0,gener,general
3710,cinnamon,206,0,0,0,cinnamon,cinnamon
9990,least,205,0,0,0,least,least
10580,market,205,0,0,0,market,market
10655,materials,205,0,0,0,materi,materi
13672,quantities,205,0,0,0,quantiti,quantiti
3857,cloves,205,0,0,0,clove,clove
15282,shells,204,0,0,0,shell,shell
1228,adding,204,0,0,0,ad,ad
7491,frequently,204,0,0,0,frequent,frequent
5670,dissolved,203,0,0,0,dissolv,dissolv
15115,send,203,0,0,0,send,send
5121,deep,202,0,0,0,deep,deep
3017,buttered,201,0,0,0,butter,butter
7013,filling,201,0,0,0,fill,fill
11409,need,201,0,0,0,need,need
2892,browned,200,0,0,0,brown,brown
2771,breakfast,200,0,0,0,breakfast,breakfast
14381,right,200,0,0,0,right,right
11041,moderate,200,0,0,0,moder,moder
9539,jar,200,0,0,0,jar,jar
1504,although,200,0,0,0,although,although
2025,away,199,0,0,0,away,away
4156,composition,198,0,0,0,composit,composit
7031,find,198,0,0,0,find,find
17027,thicken,196,0,0,0,thicken,thicken
15621,slow,196,0,0,0,slow,slow
9915,last,196,0,0,0,last,last
8537,herbs,196,0,0,0,herb,herb
16139,steak,196,0,0,0,steak,steak
13777,raisins,195,0,0,0,raisin,raisin
12154,p,195,0,0,0,p,p
11172,mould,195,0,0,0,mould,mould
7379,fork,194,0,0,0,fork,fork
10397,macaroni,193,0,0,0,macaroni,macaroni
4864,cupful,192,0,0,0,cup,cup
14716,salted,192,0,0,0,salt,salt
11934,ordinary,192,0,0,0,ordinari,ordinari
6806,far,190,0,0,0,far,far
1692,appetizing,190,0,0,0,appet,appet
12128,oyster,189,0,0,0,oyster,oyster
11466,new,189,0,0,0,new,new
17972,usual,188,0,0,0,usual,usual
11566,nor,188,0,0,1,nor,nor
9280,inside,188,0,0,0,insid,insid
10290,look,188,0,0,0,look,look
9060,inches,187,0,0,0,inch,inch
5224,depends,187,0,0,0,depend,depend
14576,rule,186,0,0,0,rule,rule
13161,powdered,185,0,0,0,powder,powder
4306,considered,185,0,0,0,consid,consid
5420,difficult,185,0,0,0,difficult,difficult
15553,skins,184,0,0,0,skin,skin
12788,pineapple,184,0,0,0,pineappl,pineappl
6542,except,184,0,0,0,except,except
18556,whether,183,0,0,0,whether,whether
18009,valuable,183,0,0,0,valuabl,valuabl
4460,cooks,183,0,0,0,cook,cook
12009,outside,182,0,0,0,outsid,outsid
8483,heated,182,0,0,0,heat,heat
11360,nature,181,0,0,0,natur,natur
16433,substances,181,0,0,0,substanc,substanc
6123,eight,181,0,0,0,eight,eight
9743,kitchen,181,0,0,0,kitchen,kitchen
5857,dressed,180,0,0,0,dress,dress
15408,sides,180,0,0,0,side,side
15060,seeds,180,0,0,0,seed,seed
4564,cost,180,0,0,0,cost,cost
15450,simple,179,0,0,0,simpl,simpl
9961,lb,179,0,0,0,lb,lb
13249,preparing,178,0,0,0,prepar,prepar
11071,molasses,178,0,0,0,molass,molass
4380,continue,178,0,0,0,continu,continu
4039,combined,177,0,0,0,combin,combin
14809,sauces,177,0,0,0,sauc,sauc
1696,apple,176,0,0,0,appl,appl
11592,nothing,176,0,0,0,noth,noth
5894,drops,176,0,0,0,drop,drop
15012,seasoned,176,0,0,0,season,season
18336,waste,176,0,0,0,wast,wast
1801,arrange,175,0,0,0,arrang,arrang
13375,produce,175,0,0,0,produc,produc
13688,quarts,175,0,0,0,quart,quart
11282,mustard,174,0,0,0,mustard,mustard
7443,fowl,174,0,0,0,fowl,fowl
16388,stuffing,174,0,0,0,stuf,stuf
17047,things,174,0,0,0,thing,thing
13156,poured,174,0,0,0,pour,pour
3661,chops,174,0,0,0,chop,chop
10011,leftover,173,0,0,0,leftov,leftov
7691,gas,173,0,0,0,ga,gas
5492,dip,173,0,0,0,dip,dip
12534,people,173,0,0,0,peopl,peopl
16432,substance,172,0,0,0,substanc,substanc
15544,skim,172,0,0,0,skim,skim
